"filename", "language", "CSS", "JSON with Comments", "JSON", "Markdown", "Prisma", "TypeScript React", "JavaScript", "XML", "SQL", "TypeScript", "Properties", "comment", "blank", "total"
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 2, 7
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\.eslintrc.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\README.md", "Markdown", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 15, 35
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\components\BlockContainerButtons\BlockContainerButtons.module.css", "CSS", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 51
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\components\BlockContainerButtons\BlockContainerButtons.tsx", "TypeScript React", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\components\BlockContainerLinks\BlockContainerLinks.module.css", "CSS", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 47
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\components\BlockContainerLinks\BlockContainerLinks.tsx", "TypeScript React", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\components\ItemTable\ItemTable.tsx", "TypeScript React", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\components\context\data-context.tsx", "TypeScript React", 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 31, 108
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\components\dropdown\DropContent.tsx", "TypeScript React", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 8, 26
